answer,left_method,participant,right_method,test_case
3484kbps_2160p_59_94fps_hevc,3484kbps_2160p_59_94fps_hevc,da1e434b-103d-4d1a-aa97-71a8bf28a7a2,40974kbps_2160p_59_94fps_hevc,cutting_orange_tuil_8s@display=saliency_crop_720p
3484kbps_2160p_59_94fps_hevc,3484kbps_2160p_59_94fps_hevc,470a11a6-d75d-4401-9ec8-0c8cb5b867a4,40974kbps_2160p_59_94fps_hevc,cutting_orange_tuil_8s@display=saliency_crop_720p
3484kbps_2160p_59_94fps_hevc,3484kbps_2160p_59_94fps_hevc,c8d54e24-ede2-4394-890d-6b65ec016f0c,40974kbps_2160p_59_94fps_hevc,cutting_orange_tuil_8s@display=saliency_crop_720p
,40974kbps_2160p_59_94fps_hevc,d33eac85-0009-4ce7-a404-9543656f5b6f,3484kbps_2160p_59_94fps_hevc,cutting_orange_tuil_8s@display=saliency_crop_720p
,3484kbps_2160p_59_94fps_hevc,b96b5c8f-6ceb-4580-b04d-058d4c4f73ef,40974kbps_2160p_59_94fps_hevc,cutting_orange_tuil_8s@display=saliency_crop_720p
3484kbps_2160p_59_94fps_hevc,40974kbps_2160p_59_94fps_hevc,7b2d0224-0c23-4475-bb16-2132f7538c37,3484kbps_2160p_59_94fps_hevc,cutting_orange_tuil_8s@display=saliency_crop_720p
40974kbps_2160p_59_94fps_hevc,40974kbps_2160p_59_94fps_hevc,75bd4f4f-495e-4ead-8de6-70b5b2ab6f63,3484kbps_2160p_59_94fps_hevc,cutting_orange_tuil_8s@display=saliency_crop_720p
40974kbps_2160p_59_94fps_hevc,40974kbps_2160p_59_94fps_hevc,b43dec4c-5b15-4cf5-adbe-0d6c7e195b1a,3484kbps_2160p_59_94fps_hevc,cutting_orange_tuil_8s@display=saliency_crop_720p
40974kbps_2160p_59_94fps_hevc,3484kbps_2160p_59_94fps_hevc,5c6e6146-bc67-426f-92ed-d77f9690f9ff,40974kbps_2160p_59_94fps_hevc,cutting_orange_tuil_8s@display=saliency_crop_720p
,40974kbps_2160p_59_94fps_hevc,0a5142f4-5984-41e7-a801-2f222aaec5b3,3484kbps_2160p_59_94fps_hevc,cutting_orange_tuil_8s@display=saliency_crop_720p
22229kbps_2160p_60_0fps_hevc,59720kbps_2160p_60_0fps_h264,30b85bf2-bd8c-403f-88b5-431cdc731142,22229kbps_2160p_60_0fps_hevc,Dancers_8s@display=saliency_crop_720p
22229kbps_2160p_60_0fps_hevc,59720kbps_2160p_60_0fps_h264,0f5f2d0b-cfb4-4c64-8b78-7fb754511979,22229kbps_2160p_60_0fps_hevc,Dancers_8s@display=saliency_crop_720p
22229kbps_2160p_60_0fps_hevc,59720kbps_2160p_60_0fps_h264,b96b5c8f-6ceb-4580-b04d-058d4c4f73ef,22229kbps_2160p_60_0fps_hevc,Dancers_8s@display=saliency_crop_720p
22229kbps_2160p_60_0fps_hevc,59720kbps_2160p_60_0fps_h264,85d878b8-c6e1-4ce5-910f-3d66d8a7327f,22229kbps_2160p_60_0fps_hevc,Dancers_8s@display=saliency_crop_720p
22229kbps_2160p_60_0fps_hevc,22229kbps_2160p_60_0fps_hevc,4e0514e4-3461-45ce-adaa-a54562325b1b,59720kbps_2160p_60_0fps_h264,Dancers_8s@display=saliency_crop_720p
22229kbps_2160p_60_0fps_hevc,59720kbps_2160p_60_0fps_h264,1e069b80-d870-4e10-aff9-db213c54265b,22229kbps_2160p_60_0fps_hevc,Dancers_8s@display=saliency_crop_720p
59720kbps_2160p_60_0fps_h264,22229kbps_2160p_60_0fps_hevc,f2cf4901-eac7-4ef8-9b6c-14f6bd7dcabb,59720kbps_2160p_60_0fps_h264,Dancers_8s@display=saliency_crop_720p
22229kbps_2160p_60_0fps_hevc,59720kbps_2160p_60_0fps_h264,fdea41e7-7682-4b36-9e68-2f39fa861b68,22229kbps_2160p_60_0fps_hevc,Dancers_8s@display=saliency_crop_720p
22229kbps_2160p_60_0fps_hevc,59720kbps_2160p_60_0fps_h264,5ac9752e-ada9-4d22-b0b8-b790499a6791,22229kbps_2160p_60_0fps_hevc,Dancers_8s@display=saliency_crop_720p
22229kbps_2160p_60_0fps_hevc,59720kbps_2160p_60_0fps_h264,a950b9c7-e299-4ec4-ba0b-ae983dcb87f8,22229kbps_2160p_60_0fps_hevc,Dancers_8s@display=saliency_crop_720p
15000kbps_2160p_59_94fps_vp9,15000kbps_2160p_59_94fps_vp9,518c0476-6798-4413-b127-419b76cba223,40000kbps_2160p_59_94fps_hevc,water_netflix@display=saliency_crop_720p
40000kbps_2160p_59_94fps_hevc,40000kbps_2160p_59_94fps_hevc,b96b5c8f-6ceb-4580-b04d-058d4c4f73ef,15000kbps_2160p_59_94fps_vp9,water_netflix@display=saliency_crop_720p
,40000kbps_2160p_59_94fps_hevc,8ca6b03c-a0e0-4a7d-aa59-6fffce4f48c1,15000kbps_2160p_59_94fps_vp9,water_netflix@display=saliency_crop_720p
15000kbps_2160p_59_94fps_vp9,40000kbps_2160p_59_94fps_hevc,a5a91c89-e32f-450d-a1cc-74bb5b60ad34,15000kbps_2160p_59_94fps_vp9,water_netflix@display=saliency_crop_720p
40000kbps_2160p_59_94fps_hevc,15000kbps_2160p_59_94fps_vp9,7dbc80c3-ef1e-46ed-b8a9-6375a637a272,40000kbps_2160p_59_94fps_hevc,water_netflix@display=saliency_crop_720p
15000kbps_2160p_59_94fps_vp9,40000kbps_2160p_59_94fps_hevc,932f68ed-a47e-43d0-b4c2-4b08bd5d2673,15000kbps_2160p_59_94fps_vp9,water_netflix@display=saliency_crop_720p
,15000kbps_2160p_59_94fps_vp9,586a87b8-ef11-412e-9cbf-c22b8ac44db6,40000kbps_2160p_59_94fps_hevc,water_netflix@display=saliency_crop_720p
40000kbps_2160p_59_94fps_hevc,40000kbps_2160p_59_94fps_hevc,97304416-a32c-4624-a816-cfbe1fa082b1,15000kbps_2160p_59_94fps_vp9,water_netflix@display=saliency_crop_720p
15000kbps_2160p_59_94fps_vp9,15000kbps_2160p_59_94fps_vp9,b9d4dddd-100f-4b0d-816b-16147ca284ae,40000kbps_2160p_59_94fps_hevc,water_netflix@display=saliency_crop_720p
,40000kbps_2160p_59_94fps_hevc,902b4df8-a301-4005-8e8f-652552b69901,15000kbps_2160p_59_94fps_vp9,water_netflix@display=saliency_crop_720p
7500kbps_2160p_59_94fps_hevc,7500kbps_2160p_59_94fps_hevc,518c0476-6798-4413-b127-419b76cba223,7500kbps_2160p_59_94fps_h264,water_netflix@display=saliency_crop_720p
,7500kbps_2160p_59_94fps_hevc,b96b5c8f-6ceb-4580-b04d-058d4c4f73ef,7500kbps_2160p_59_94fps_h264,water_netflix@display=saliency_crop_720p
7500kbps_2160p_59_94fps_hevc,7500kbps_2160p_59_94fps_hevc,7f659594-9b1c-4c15-bc7c-a41346b9aab3,7500kbps_2160p_59_94fps_h264,water_netflix@display=saliency_crop_720p
7500kbps_2160p_59_94fps_hevc,7500kbps_2160p_59_94fps_h264,5db39f19-9db5-40ba-b6d4-c0a63e96a485,7500kbps_2160p_59_94fps_hevc,water_netflix@display=saliency_crop_720p
7500kbps_2160p_59_94fps_hevc,7500kbps_2160p_59_94fps_hevc,12fc7adf-1cea-4aed-9c8d-a91c5cfed1f2,7500kbps_2160p_59_94fps_h264,water_netflix@display=saliency_crop_720p
7500kbps_2160p_59_94fps_hevc,7500kbps_2160p_59_94fps_hevc,f98d2767-c9ae-4c22-a3c6-7e956dbe53e8,7500kbps_2160p_59_94fps_h264,water_netflix@display=saliency_crop_720p
7500kbps_2160p_59_94fps_hevc,7500kbps_2160p_59_94fps_hevc,a873a053-7c7c-4435-8023-367c2fd7530f,7500kbps_2160p_59_94fps_h264,water_netflix@display=saliency_crop_720p
,7500kbps_2160p_59_94fps_h264,c8512356-69ef-4128-9ef0-77794fe6fd92,7500kbps_2160p_59_94fps_hevc,water_netflix@display=saliency_crop_720p
7500kbps_2160p_59_94fps_hevc,7500kbps_2160p_59_94fps_hevc,828af952-c300-486f-8141-ad505fa855c3,7500kbps_2160p_59_94fps_h264,water_netflix@display=saliency_crop_720p
7500kbps_2160p_59_94fps_hevc,7500kbps_2160p_59_94fps_hevc,aabcd9bf-363c-4eb7-ab48-18c99e09745a,7500kbps_2160p_59_94fps_h264,water_netflix@display=saliency_crop_720p
59720kbps_2160p_59_94fps_hevc,59720kbps_2160p_59_94fps_hevc,5817215b-7791-4680-95cf-fca074f28307,22229kbps_2160p_59_94fps_h264,water_netflix_8s@display=saliency_crop_720p
59720kbps_2160p_59_94fps_hevc,59720kbps_2160p_59_94fps_hevc,94857259-2f41-432b-9ad5-77fb871fa016,22229kbps_2160p_59_94fps_h264,water_netflix_8s@display=saliency_crop_720p
59720kbps_2160p_59_94fps_hevc,22229kbps_2160p_59_94fps_h264,4d4f1198-6e3a-419c-866e-021a12398147,59720kbps_2160p_59_94fps_hevc,water_netflix_8s@display=saliency_crop_720p
59720kbps_2160p_59_94fps_hevc,59720kbps_2160p_59_94fps_hevc,d3f09d68-c01d-4b8f-89e2-ff71d2eb8a9d,22229kbps_2160p_59_94fps_h264,water_netflix_8s@display=saliency_crop_720p
59720kbps_2160p_59_94fps_hevc,59720kbps_2160p_59_94fps_hevc,365d93fc-7649-459f-ae7d-52397bcf51fd,22229kbps_2160p_59_94fps_h264,water_netflix_8s@display=saliency_crop_720p
,22229kbps_2160p_59_94fps_h264,1899ebd1-a8e2-4e0f-bd1e-fbaad3a7d918,59720kbps_2160p_59_94fps_hevc,water_netflix_8s@display=saliency_crop_720p
59720kbps_2160p_59_94fps_hevc,59720kbps_2160p_59_94fps_hevc,14794d4f-aa2a-4eba-a69e-f5dd8b2a41b0,22229kbps_2160p_59_94fps_h264,water_netflix_8s@display=saliency_crop_720p
59720kbps_2160p_59_94fps_hevc,22229kbps_2160p_59_94fps_h264,fcbb40bf-894b-4152-af3c-9da7eeb4f070,59720kbps_2160p_59_94fps_hevc,water_netflix_8s@display=saliency_crop_720p
59720kbps_2160p_59_94fps_hevc,22229kbps_2160p_59_94fps_h264,b96b5c8f-6ceb-4580-b04d-058d4c4f73ef,59720kbps_2160p_59_94fps_hevc,water_netflix_8s@display=saliency_crop_720p
59720kbps_2160p_59_94fps_hevc,59720kbps_2160p_59_94fps_hevc,574105db-9926-478c-83a1-b1bab4a2791d,22229kbps_2160p_59_94fps_h264,water_netflix_8s@display=saliency_crop_720p
7500kbps_2160p_59_94fps_hevc,7500kbps_2160p_59_94fps_hevc,891a7809-3e66-4067-b9e7-1d05815fb4ec,40000kbps_2160p_59_94fps_hevc,vegetables_tuil@display=saliency_crop_720p
40000kbps_2160p_59_94fps_hevc,7500kbps_2160p_59_94fps_hevc,b96b5c8f-6ceb-4580-b04d-058d4c4f73ef,40000kbps_2160p_59_94fps_hevc,vegetables_tuil@display=saliency_crop_720p
,7500kbps_2160p_59_94fps_hevc,9038396c-f754-4a1f-9705-e59538759b10,40000kbps_2160p_59_94fps_hevc,vegetables_tuil@display=saliency_crop_720p
7500kbps_2160p_59_94fps_hevc,40000kbps_2160p_59_94fps_hevc,701c73ce-910e-4100-98d1-cba6020694f8,7500kbps_2160p_59_94fps_hevc,vegetables_tuil@display=saliency_crop_720p
40000kbps_2160p_59_94fps_hevc,7500kbps_2160p_59_94fps_hevc,c8d54e24-ede2-4394-890d-6b65ec016f0c,40000kbps_2160p_59_94fps_hevc,vegetables_tuil@display=saliency_crop_720p
,40000kbps_2160p_59_94fps_hevc,c968079f-95be-400c-9042-d67254e6be8b,7500kbps_2160p_59_94fps_hevc,vegetables_tuil@display=saliency_crop_720p
,40000kbps_2160p_59_94fps_hevc,1d4bbf88-011a-4eec-818b-922c4666f9b5,7500kbps_2160p_59_94fps_hevc,vegetables_tuil@display=saliency_crop_720p
40000kbps_2160p_59_94fps_hevc,40000kbps_2160p_59_94fps_hevc,a2271d16-03bd-4e33-998d-628f1e5abc25,7500kbps_2160p_59_94fps_hevc,vegetables_tuil@display=saliency_crop_720p
7500kbps_2160p_59_94fps_hevc,40000kbps_2160p_59_94fps_hevc,4d4f1198-6e3a-419c-866e-021a12398147,7500kbps_2160p_59_94fps_hevc,vegetables_tuil@display=saliency_crop_720p
7500kbps_2160p_59_94fps_hevc,40000kbps_2160p_59_94fps_hevc,bcb882b6-7454-4ee7-aed7-682c3675a363,7500kbps_2160p_59_94fps_hevc,vegetables_tuil@display=saliency_crop_720p
,40000kbps_2160p_60_0fps_hevc,04ae297b-bb09-4198-bde8-e93035527523,40000kbps_2160p_60_0fps_h264,bigbuck_bunny_8bit@display=saliency_crop_720p
,40000kbps_2160p_60_0fps_hevc,2916896a-4cb2-425a-8ae8-07f9a3a4cb16,40000kbps_2160p_60_0fps_h264,bigbuck_bunny_8bit@display=saliency_crop_720p
,40000kbps_2160p_60_0fps_h264,b96b5c8f-6ceb-4580-b04d-058d4c4f73ef,40000kbps_2160p_60_0fps_hevc,bigbuck_bunny_8bit@display=saliency_crop_720p
40000kbps_2160p_60_0fps_hevc,40000kbps_2160p_60_0fps_h264,365d93fc-7649-459f-ae7d-52397bcf51fd,40000kbps_2160p_60_0fps_hevc,bigbuck_bunny_8bit@display=saliency_crop_720p
