sequence,preset,score
BigBuckBunny,original,100.0
BigBuckBunny,encoded@bitrate=1050_height=480,50.0
BigBuckBunny,encoded@bitrate=1750_height=480,55.0
BigBuckBunny,encoded@bitrate=3050_height=720,75.0
BigBuckBunny,encoded@bitrate=375_height=288,20.0
BigBuckBunny,encoded@bitrate=3800_height=1080,85.0
BigBuckBunny,encoded@bitrate=4250_height=720,80.0
BigBuckBunny,encoded@bitrate=4300_height=1080,90.0
BigBuckBunny,encoded@bitrate=550_height=384,30.0
BigBuckBunny,encoded@bitrate=5800_height=1080,95.0
BigBuckBunny,encoded@bitrate=750_height=384,40.0
BirdsInCage,original,100.0
BirdsInCage,encoded@bitrate=1050_height=720,85.0
BirdsInCage,encoded@bitrate=1800_height=1080,90.0
BirdsInCage,encoded@bitrate=3000_height=1080,95.0
BirdsInCage,encoded@bitrate=375_height=288,40.0
BirdsInCage,encoded@bitrate=550_height=288,50.0
BirdsInCage,encoded@bitrate=550_height=384,60.0
BirdsInCage,encoded@bitrate=750_height=384,65.0
BirdsInCage,encoded@bitrate=750_height=480,80.0
CrowdRun,original,100.0
CrowdRun,encoded@bitrate=10000_height=1080,80.0
CrowdRun,encoded@bitrate=15000_height=1080,90.0
CrowdRun,encoded@bitrate=2350_height=480,40.0
CrowdRun,encoded@bitrate=375_height=288,3.0
CrowdRun,encoded@bitrate=4300_height=1080,50.0
CrowdRun,encoded@bitrate=5800_height=1080,65.0
CrowdRun,encoded@bitrate=7500_height=1080,75.0
ElFuente1,original,100.0
ElFuente1,encoded@bitrate=1750_height=480,50.0
ElFuente1,encoded@bitrate=2350_height=720,60.0
ElFuente1,encoded@bitrate=375_height=288,10.0
ElFuente1,encoded@bitrate=4300_height=1080,70.0
ElFuente1,encoded@bitrate=5800_height=1080,85.0
ElFuente1,encoded@bitrate=7500_height=1080,90.0
ElFuente1,encoded@bitrate=750_height=384,25.0
ElFuente2,original,100.0
ElFuente2,encoded@bitrate=10000_height=1080,80.0
ElFuente2,encoded@bitrate=15000_height=1080,85.0
ElFuente2,encoded@bitrate=1750_height=480,30.0
ElFuente2,encoded@bitrate=20000_height=1080,90.0
ElFuente2,encoded@bitrate=3050_height=720,50.0
ElFuente2,encoded@bitrate=375_height=288,5.0
ElFuente2,encoded@bitrate=4250_height=720,65.0
ElFuente2,encoded@bitrate=4300_height=1080,60.0
ElFuente2,encoded@bitrate=5800_height=1080,70.0
FoxBird,original,100.0
FoxBird,encoded@bitrate=1750_height=480,65.0
FoxBird,encoded@bitrate=2300_height=1080,80.0
FoxBird,encoded@bitrate=375_height=288,20.0
FoxBird,encoded@bitrate=5800_height=1080,95.0
FoxBird,encoded@bitrate=750_height=384,40.0
FoxBird,encoded@bitrate=750_height=480,55.0
OldTownCross,original,100.0
OldTownCross,encoded@bitrate=1750_height=480,60.0
OldTownCross,encoded@bitrate=2350_height=720,80.0
OldTownCross,encoded@bitrate=2950_height=720,85.0
OldTownCross,encoded@bitrate=375_height=288,20.0
OldTownCross,encoded@bitrate=4300_height=1080,90.0
OldTownCross,encoded@bitrate=750_height=384,45.0
OldTownCross,encoded@bitrate=750_height=480,55.0
Seeking,original,100.0
Seeking,encoded@bitrate=1050_height=480,30.0
Seeking,encoded@bitrate=15000_height=1080,90.0
Seeking,encoded@bitrate=1750_height=480,45.0
Seeking,encoded@bitrate=20000_height=1080,95.0
Seeking,encoded@bitrate=2350_height=720,50.0
Seeking,encoded@bitrate=3050_height=720,60.0
Seeking,encoded@bitrate=375_height=288,10.0
Seeking,encoded@bitrate=4300_height=1080,65.0
Seeking,encoded@bitrate=5800_height=1080,75.0
Seeking,encoded@bitrate=7500_height=1080,85.0
Tennis,original,100.0
Tennis,encoded@bitrate=1050_height=480,60.0
Tennis,encoded@bitrate=1750_height=480,70.0
Tennis,encoded@bitrate=3050_height=720,80.0
Tennis,encoded@bitrate=375_height=288,20.0
Tennis,encoded@bitrate=4300_height=1080,90.0
Tennis,encoded@bitrate=750_height=384,40.0
