sequence,preset,score
Beauty,1080p_120hz_q_27,64.65931492
Beauty,1080p_120hz_q_29,59.19211721
Beauty,1080p_120hz_q_35,43.36840406
Beauty,1080p_120hz_q_41,30.48383404
Beauty,1080p_60hz_q_25,64.42996219
Beauty,1080p_60hz_q_33,48.95367515
Beauty,1080p_60hz_q_39,33.18379077
Beauty,2160p_120hz_q_29,66.51391356
Beauty,2160p_120hz_q_33,60.73444773
Beauty,2160p_120hz_q_37,52.96299361
Beauty,2160p_120hz_q_43,39.65983437
Beauty,2160p_120hz_q_49,24.57591922
Beauty,2160p_60hz_q_31,64.22599208
Beauty,2160p_60hz_q_35,58.15556201
Beauty,2160p_60hz_q_39,47.77082147
Beauty,2160p_60hz_q_45,31.27481605
Beauty,540p_120hz_q_19,67.15666953
Beauty,540p_120hz_q_23,59.41288259
Beauty,540p_120hz_q_29,46.23895326
Beauty,540p_120hz_q_33,35.26968937
Beauty,540p_60hz_q_21,63.49839071
Beauty,540p_60hz_q_27,50.42594037
Beauty,540p_60hz_q_31,43.49250254
Beauty,720p_120hz_q_23,64.85226714
Beauty,720p_120hz_q_27,56.25512233
Beauty,720p_120hz_q_31,42.46125112
Beauty,720p_120hz_q_37,30.70403744
Beauty,720p_60hz_q_21,65.10861273
Beauty,720p_60hz_q_29,51.39333774
Beauty,720p_60hz_q_33,39.90107184
Dancers,1080p_30hz_q_25,59.95899537
Dancers,1080p_30hz_q_29,58.70191707
Dancers,1080p_30hz_q_35,37.27738084
Dancers,1080p_60hz_q_25,64.72757002
Dancers,1080p_60hz_q_31,55.43373679
Dancers,1080p_60hz_q_39,32.49749076
Dancers,2160p_30hz_q_31,59.21729658
Dancers,2160p_30hz_q_35,55.6267489
Dancers,2160p_30hz_q_41,36.34317375
Dancers,2160p_30hz_q_45,24.21683011
Dancers,2160p_60hz_q_25,71.86991396
Dancers,2160p_60hz_q_33,61.47135866
Dancers,2160p_60hz_q_39,45.73679991
Dancers,2160p_60hz_q_45,26.43365704
Dancers,2160p_60hz_q_49,19.94420153
Dancers,540p_30hz_q_17,54.48717818
Dancers,540p_30hz_q_23,52.45705032
Dancers,540p_30hz_q_29,44.47711949
Dancers,540p_60hz_q_21,57.65420041
Dancers,540p_60hz_q_25,52.7348967
Dancers,540p_60hz_q_31,41.14745007
Dancers,720p_30hz_q_21,62.30210648
Dancers,720p_30hz_q_25,59.95191644
Dancers,720p_30hz_q_31,45.32058784
Dancers,720p_60hz_q_23,65.06153409
Dancers,720p_60hz_q_27,57.42167107
Dancers,720p_60hz_q_33,39.96837831
Dinner,1080p_30hz_q_25,63.82987785
Dinner,1080p_30hz_q_29,49.80634028
Dinner,1080p_30hz_q_33,40.70033141
Dinner,1080p_60hz_q_25,65.54361778
Dinner,1080p_60hz_q_31,42.81285503
Dinner,1080p_60hz_q_35,35.57850484
Dinner,2160p_30hz_q_31,63.22078736
Dinner,2160p_30hz_q_37,44.24144204
Dinner,2160p_30hz_q_41,34.88406444
Dinner,2160p_60hz_q_25,72.13520117
Dinner,2160p_60hz_q_33,60.952719
Dinner,2160p_60hz_q_37,43.86702197
Dinner,2160p_60hz_q_41,34.00403663
Dinner,2160p_60hz_q_49,17.66977607
Dinner,540p_30hz_q_17,67.10955538
Dinner,540p_30hz_q_21,60.47190695
Dinner,540p_30hz_q_25,49.33936567
Dinner,540p_60hz_q_19,61.67548814
Dinner,540p_60hz_q_23,54.3584098
Dinner,540p_60hz_q_25,48.0051974
Dinner,720p_30hz_q_21,62.94415783
Dinner,720p_30hz_q_25,55.08469858
Dinner,720p_30hz_q_27,48.46956309
Dinner,720p_60hz_q_21,66.24428199
Dinner,720p_60hz_q_25,55.22415475
Dinner,720p_60hz_q_29,44.53573687
Discuss,1080p_30hz_q_25,69.45789246
Discuss,1080p_30hz_q_29,63.19848791
Discuss,1080p_30hz_q_33,49.39506988
Discuss,1080p_30hz_q_37,32.8758809
Discuss,1080p_60hz_q_25,72.28681637
Discuss,1080p_60hz_q_29,67.3800345
Discuss,1080p_60hz_q_35,41.45294635
Discuss,1080p_60hz_q_39,25.77819262
Discuss,2160p_30hz_q_31,70.00294617
Discuss,2160p_30hz_q_35,65.024864
Discuss,2160p_30hz_q_41,37.00358333
Discuss,2160p_30hz_q_45,24.10974026
Discuss,2160p_60hz_q_27,76.19015896
Discuss,2160p_60hz_q_33,74.07155655
Discuss,2160p_60hz_q_37,62.30584389
Discuss,2160p_60hz_q_43,29.91577694
Discuss,2160p_60hz_q_49,18.38287015
Discuss,540p_30hz_q_17,61.98187849
Discuss,540p_30hz_q_21,57.94512115
Discuss,540p_30hz_q_29,41.1663091
Discuss,540p_60hz_q_19,59.18631205
Discuss,540p_60hz_q_23,56.17785422
Discuss,540p_60hz_q_31,31.76372612
Discuss,720p_30hz_q_21,65.85239651
Discuss,720p_30hz_q_25,61.20826419
Discuss,720p_30hz_q_29,49.44904217
Discuss,720p_30hz_q_33,35.22744313
Discuss,720p_60hz_q_21,70.59505904
Discuss,720p_60hz_q_25,63.14258478
Discuss,720p_60hz_q_31,40.79860512
Discuss,720p_60hz_q_35,29.1659092
Football,1080p_30hz_q_27,62.44739925
Football,1080p_30hz_q_31,60.46183746
Football,1080p_30hz_q_35,52.81955647
Football,1080p_30hz_q_41,34.08679973
Football,1080p_60hz_q_29,70.98917506
Football,1080p_60hz_q_33,65.85271188
Football,1080p_60hz_q_37,55.85401753
Football,1080p_60hz_q_43,32.96810012
Football,2160p_30hz_q_33,66.46562088
Football,2160p_30hz_q_39,57.75189886
Football,2160p_30hz_q_43,49.03536866
Football,2160p_30hz_q_47,31.90501164
Football,2160p_60hz_q_27,74.45969635
Football,2160p_60hz_q_35,72.51023411
Football,2160p_60hz_q_41,62.82063371
Football,2160p_60hz_q_45,49.15831442
Football,2160p_60hz_q_51,23.1839272
Football,540p_30hz_q_17,54.82825941
Football,540p_30hz_q_23,52.74189678
Football,540p_30hz_q_33,37.48675137
Football,540p_60hz_q_21,60.35777605
Football,540p_60hz_q_27,53.69049865
Football,540p_60hz_q_35,35.97199585
Football,720p_30hz_q_21,63.20906893
Football,720p_30hz_q_27,58.52525412
Football,720p_30hz_q_31,53.11182875
Football,720p_30hz_q_37,35.96548348
Football,720p_60hz_q_25,67.96050688
Football,720p_60hz_q_29,63.37372327
Football,720p_60hz_q_33,50.76448326
Football,720p_60hz_q_39,32.50953374
HoneyBee,1080p_120hz_q_23,69.22118314
HoneyBee,1080p_120hz_q_27,66.22644549
HoneyBee,1080p_120hz_q_33,52.23413426
HoneyBee,1080p_120hz_q_37,38.96917578
HoneyBee,1080p_60hz_q_23,68.14364785
HoneyBee,1080p_60hz_q_27,67.57232763
HoneyBee,1080p_60hz_q_31,56.66665485
HoneyBee,1080p_60hz_q_35,49.07435281
HoneyBee,2160p_120hz_q_25,70.2485305
HoneyBee,2160p_120hz_q_29,69.25786731
HoneyBee,2160p_120hz_q_35,58.90178433
HoneyBee,2160p_120hz_q_43,39.40080551
HoneyBee,2160p_120hz_q_51,19.64872995
HoneyBee,2160p_60hz_q_29,64.82842184
HoneyBee,2160p_60hz_q_33,62.89117419
HoneyBee,2160p_60hz_q_39,50.4431745
HoneyBee,2160p_60hz_q_45,31.64072062
HoneyBee,540p_120hz_q_17,60.49929403
HoneyBee,540p_120hz_q_25,56.08081227
HoneyBee,540p_120hz_q_29,48.14661054
HoneyBee,540p_60hz_q_19,57.72536007
