sequence,preset,score
Mobile,R1,3.12308
Mobile,R2,3.41457
Mobile,R3,4.04715
Mobile,R4,4.26558
Mobile,R5,4.45542
Mobile,R6,4.58128
Runners,R1,2.60759
Runners,R2,3.61155
Runners,R3,4.01752
Runners,R4,4.35907
Runners,R5,4.3796
Runners,R6,4.47963
Rush,Hour_R1,3.21839
Rush,Hour_R2,3.75595
Rush,Hour_R3,4.11833
Rush,Hour_R4,4.24401
Rush,Hour_R5,4.38031
Rush,Hour_R6,4.45143
Campfire,Party_R1,2.65958
Campfire,Party_R2,2.90674
Campfire,Party_R3,3.40397
Campfire,Party_R4,3.61366
Campfire,Party_R5,4.04942
Campfire,Party_R6,4.18961
Coastguard,R1,3.60524
Coastguard,R2,3.89121
Coastguard,R3,4.11763
Coastguard,R4,4.37877
Coastguard,R5,4.48401
Coastguard,R6,4.48418
Traffic,Flow_R1,3.45238
Traffic,Flow_R2,3.93804
Traffic,Flow_R3,4.11037
Traffic,Flow_R4,4.26997
Traffic,Flow_R5,4.41997
Traffic,Flow_R6,4.41997
Tall,Buildings_R1,4.01321
Tall,Buildings_R2,4.23315
Tall,Buildings_R3,4.33901
Tall,Buildings_R4,4.55486
Tall,Buildings_R5,4.59867
Tall,Buildings_R6,4.6175
Wood,R1,3.43013
Wood,R2,3.93221
Wood,R3,4.34905
Wood,R4,4.41185
Wood,R5,4.43192
Wood,R6,4.43735
Fountains,R1,2.95949
Fountains,R2,3.55471
Fountains,R3,3.85654
Fountains,R4,4.08016
Fountains,R5,4.29521
Fountains,R6,4.51694
Marathon,R1,2.88812
Marathon,R2,3.6217
Marathon,R3,4.05522
Marathon,R4,4.25697
Marathon,R5,4.36801
Marathon,R6,4.41967
