sequence,preset,score
american_football_harmonic,200kbps_360p_59_94fps_h264,1.0
american_football_harmonic,750kbps_360p_59_94fps_h264,2.13793103448276
american_football_harmonic,750kbps_720p_59_94fps_h264,1.6551724137931
american_football_harmonic,2000kbps_720p_59_94fps_h264,3.03448275862069
american_football_harmonic,2000kbps_1080p_59_94fps_h264,2.3448275862069
american_football_harmonic,7500kbps_1080p_59_94fps_h264,4.3448275862069
american_football_harmonic,15000kbps_1080p_59_94fps_h264,4.55172413793103
american_football_harmonic,7500kbps_2160p_59_94fps_h264,3.24137931034483
american_football_harmonic,15000kbps_2160p_59_94fps_h264,4.37931034482759
american_football_harmonic,40000kbps_2160p_59_94fps_h264,4.79310344827586
american_football_harmonic,200kbps_360p_59_94fps_hevc,1.06896551724138
american_football_harmonic,750kbps_360p_59_94fps_hevc,1.89655172413793
american_football_harmonic,750kbps_720p_59_94fps_hevc,1.7931034482758603
american_football_harmonic,2000kbps_720p_59_94fps_hevc,2.931034482758621
american_football_harmonic,2000kbps_1080p_59_94fps_hevc,2.96551724137931
american_football_harmonic,7500kbps_1080p_59_94fps_hevc,4.24137931034483
american_football_harmonic,15000kbps_1080p_59_94fps_hevc,4.41379310344828
american_football_harmonic,7500kbps_2160p_59_94fps_hevc,4.31034482758621
american_football_harmonic,15000kbps_2160p_59_94fps_hevc,4.68965517241379
american_football_harmonic,40000kbps_2160p_59_94fps_hevc,4.79310344827586
american_football_harmonic,200kbps_360p_59_94fps_vp9,1.27586206896552
american_football_harmonic,750kbps_360p_59_94fps_vp9,2.24137931034483
american_football_harmonic,750kbps_720p_59_94fps_vp9,2.55172413793103
american_football_harmonic,2000kbps_720p_59_94fps_vp9,3.2758620689655205
american_football_harmonic,2000kbps_1080p_59_94fps_vp9,3.51724137931034
american_football_harmonic,7500kbps_1080p_59_94fps_vp9,4.24137931034483
american_football_harmonic,15000kbps_1080p_59_94fps_vp9,4.37931034482759
american_football_harmonic,7500kbps_2160p_59_94fps_vp9,4.2758620689655205
american_football_harmonic,15000kbps_2160p_59_94fps_vp9,4.41379310344828
american_football_harmonic,40000kbps_2160p_59_94fps_vp9,4.79310344827586
bigbuck_bunny_8bit,200kbps_360p_60_0fps_h264,1.51724137931034
bigbuck_bunny_8bit,750kbps_360p_60_0fps_h264,2.24137931034483
bigbuck_bunny_8bit,750kbps_720p_60_0fps_h264,2.79310344827586
bigbuck_bunny_8bit,2000kbps_720p_60_0fps_h264,3.41379310344828
bigbuck_bunny_8bit,2000kbps_1080p_60_0fps_h264,3.3448275862069
bigbuck_bunny_8bit,7500kbps_1080p_60_0fps_h264,4.2758620689655205
bigbuck_bunny_8bit,15000kbps_1080p_60_0fps_h264,4.20689655172414
bigbuck_bunny_8bit,7500kbps_2160p_60_0fps_h264,4.48275862068965
bigbuck_bunny_8bit,15000kbps_2160p_60_0fps_h264,4.58620689655172
bigbuck_bunny_8bit,40000kbps_2160p_60_0fps_h264,4.86206896551724
bigbuck_bunny_8bit,200kbps_360p_60_0fps_hevc,1.58620689655172
bigbuck_bunny_8bit,750kbps_360p_60_0fps_hevc,2.3448275862069
bigbuck_bunny_8bit,750kbps_720p_60_0fps_hevc,2.8275862068965503
bigbuck_bunny_8bit,2000kbps_720p_60_0fps_hevc,3.51724137931034
bigbuck_bunny_8bit,2000kbps_1080p_60_0fps_hevc,3.72413793103448
bigbuck_bunny_8bit,7500kbps_1080p_60_0fps_hevc,4.20689655172414
bigbuck_bunny_8bit,15000kbps_1080p_60_0fps_hevc,4.20689655172414
bigbuck_bunny_8bit,7500kbps_2160p_60_0fps_hevc,4.72413793103448
bigbuck_bunny_8bit,15000kbps_2160p_60_0fps_hevc,4.75862068965517
bigbuck_bunny_8bit,40000kbps_2160p_60_0fps_hevc,4.82758620689655
bigbuck_bunny_8bit,200kbps_360p_60_0fps_vp9,1.48275862068966
bigbuck_bunny_8bit,750kbps_360p_60_0fps_vp9,2.13793103448276
bigbuck_bunny_8bit,750kbps_720p_60_0fps_vp9,2.79310344827586
bigbuck_bunny_8bit,2000kbps_720p_60_0fps_vp9,3.51724137931034
bigbuck_bunny_8bit,2000kbps_1080p_60_0fps_vp9,3.75862068965517
bigbuck_bunny_8bit,7500kbps_1080p_60_0fps_vp9,4.41379310344828
bigbuck_bunny_8bit,15000kbps_1080p_60_0fps_vp9,4.51724137931035
bigbuck_bunny_8bit,7500kbps_2160p_60_0fps_vp9,4.48275862068965
bigbuck_bunny_8bit,15000kbps_2160p_60_0fps_vp9,4.68965517241379
bigbuck_bunny_8bit,40000kbps_2160p_60_0fps_vp9,4.75862068965517
cutting_orange_tuil,200kbps_360p_59_94fps_h264,1.72413793103448
