sequence,preset,score
Maxwell,v2063,2.961538
Maxwell,v1859,2.884615
Maxwell,v2635,3.107143
Maxwell,v4511,4.269231
Maxwell,v0886,2.535714
Maxwell,v3292,3.307692
Maxwell,v2083,2.961538
Maxwell,v4048,3.615385
Maxwell,v0529,2.344828
Maxwell,v4097,3.653846
Maxwell,v0878,2.529412
Maxwell,v1984,2.923077
Maxwell,v2889,3.176471
Maxwell,v1477,2.764706
Maxwell,v1703,2.827586
Maxwell,v4125,3.655172
Maxwell,v1190,2.653846
Maxwell,v3355,3.321429
Maxwell,v1447,2.75
Maxwell,v1397,2.730769
Maxwell,v2419,3.038462
Maxwell,v2828,3.153846
Maxwell,v1025,2.586207
Maxwell,v2519,3.071429
Maxwell,v0032,1.5
Maxwell,v2801,3.147059
Maxwell,v0009,1.307692
Maxwell,v3555,3.384615
Maxwell,v2181,2.970588
Maxwell,v3583,3.411765
Maxwell,v2525,3.071429
Maxwell,v0265,2.107143
Maxwell,v4537,4.461538
Maxwell,v3740,3.461538
Maxwell,v0094,1.807692
Maxwell,v0162,1.961538
Maxwell,v2349,3.029412
Maxwell,v0314,2.176471
Maxwell,v4034,3.615385
Maxwell,v1394,2.730769
Maxwell,v4235,3.758621
Maxwell,v4166,3.692308
Maxwell,v3065,3.230769
Maxwell,v2328,3.0
Maxwell,v1373,2.730769
Maxwell,v0530,2.344828
Maxwell,v2513,3.071429
Maxwell,v3175,3.269231
Maxwell,v0824,2.5
Maxwell,v0328,2.178571
