sequence,preset,score
Youtube-UGC-subjective,Animation_360P-24d4,3.435
Youtube-UGC-subjective,Animation_720P-3adc,3.575
Youtube-UGC-subjective,Animation_360P-3e52,3.651
Youtube-UGC-subjective,Animation_720P-41cf,3.862
Youtube-UGC-subjective,Animation_720P-7ff2,4.124
Youtube-UGC-subjective,Animation_1080P-3dbf,4.444
Youtube-UGC-subjective,CoverSong_360P-67ec,2.404
Youtube-UGC-subjective,CoverSong_720P-014c,2.618
Youtube-UGC-subjective,Gaming_1080P-6530,3.92
Youtube-UGC-subjective,Gaming_720P-6a45,3.967
Youtube-UGC-subjective,Gaming_1080P-4865,4.355
Youtube-UGC-subjective,HowTo_720P-3a5d,2.536
Youtube-UGC-subjective,HowTo_480P-7c11,3.267
Youtube-UGC-subjective,HowTo_720P-12f7,3.3
Youtube-UGC-subjective,HowTo_720P-4d9e,3.688
Youtube-UGC-subjective,HowTo_480P-3435,3.93
Youtube-UGC-subjective,Lecture_360P-051a,2.64
Youtube-UGC-subjective,Lecture_480P-4272,3.457
Youtube-UGC-subjective,Lecture_720P-2f38,3.552
Youtube-UGC-subjective,Lecture_720P-53a1,3.586
Youtube-UGC-subjective,Lecture_720P-5c7e,3.846
Youtube-UGC-subjective,LiveMusic_480P-58fb,3.502
Youtube-UGC-subjective,LyricVideo_480P-1484,3.145
Youtube-UGC-subjective,LyricVideo_1080P-41ee,4.071
Youtube-UGC-subjective,LyricVideo_1080P-2946,4.177
Youtube-UGC-subjective,LyricVideo_720P-74a0,4.415
Youtube-UGC-subjective,MusicVideo_480P-7955,3.509
Youtube-UGC-subjective,MusicVideo_1080P-7f2e,3.75
Youtube-UGC-subjective,MusicVideo_720P-734f,3.848
Youtube-UGC-subjective,MusicVideo_1080P-6c1d,4.323
Youtube-UGC-subjective,NewsClip_480P-0ce5,3.265
Youtube-UGC-subjective,NewsClip_720P-23e0,4.11
Youtube-UGC-subjective,NewsClip_720P-7e56,4.41
Youtube-UGC-subjective,Sports_360P-3e68,2.508
Youtube-UGC-subjective,Sports_360P-3960,2.787
Youtube-UGC-subjective,Sports_360P-50fd,3.011
Youtube-UGC-subjective,Sports_720P-2632,3.884
Youtube-UGC-subjective,Sports_720P-0b9e,3.942
Youtube-UGC-subjective,Sports_720P-5bfd,4.677
Youtube-UGC-subjective,TelevisionClip_1080P-3d10,4.052
Youtube-UGC-subjective,TelevisionClip_1080P-39e3,4.607
Youtube-UGC-subjective,VerticalVideo_1080P-1c86,1.848
Youtube-UGC-subjective,VerticalVideo_360P-1424,3.732
Youtube-UGC-subjective,VerticalVideo_480P-550d,3.832
Youtube-UGC-subjective,VerticalVideo_360P-54f7,4.146
Youtube-UGC-subjective,VerticalVideo_1080P-3709,4.367
Youtube-UGC-subjective,VerticalVideo_1080P-3d96,4.452
Youtube-UGC-subjective,Vlog_720P-2929,3.918
Youtube-UGC-subjective,Vlog_720P-03f9,3.972
Youtube-UGC-subjective,Vlog_720P-033a,4.302
