sequence,preset,score
pa,1_25fps,-0.0
pa,2_25fps,-44.5104
pa,3_25fps,-70.1054
pa,4_25fps,-66.428
pa,5_25fps,-75.1225
pa,6_25fps,-73.8803
pa,7_25fps,-63.2564
pa,8_25fps,-61.2726
pa,9_25fps,-40.5551
pa,10_25fps,-52.6111
pa,11_25fps,-60.2534
pa,12_25fps,-68.7186
pa,13_25fps,-42.9784
pa,14_25fps,-51.053
pa,15_25fps,-55.702
pa,16_25fps,-65.6457
rb,1_25fps,-0.0
rb,2_25fps,-64.9369
rb,3_25fps,-46.2446
rb,4_25fps,-54.3732
rb,5_25fps,-46.4907
rb,6_25fps,-68.1064
rb,7_25fps,-54.8101
rb,8_25fps,-54.6555
rb,9_25fps,-39.1978
rb,10_25fps,-43.6833
rb,11_25fps,-55.8563
rb,12_25fps,-63.5809
rb,13_25fps,-38.8828
rb,14_25fps,-45.6069
rb,15_25fps,-48.0089
rb,16_25fps,-47.527
rh,1_25fps,-0.0
rh,2_25fps,-68.1431
rh,3_25fps,-63.5698
rh,4_25fps,-48.0196
rh,5_25fps,-51.498
rh,6_25fps,-55.2291
rh,7_25fps,-62.3778
rh,8_25fps,-42.6909
rh,9_25fps,-37.8713
rh,10_25fps,-45.4363
rh,11_25fps,-53.6343
rh,12_25fps,-62.9934
rh,13_25fps,-31.4716
rh,14_25fps,-42.8568
rh,15_25fps,-52.0988
rh,16_25fps,-62.2062
tr,1_25fps,-0.0
tr,2_25fps,-71.2731
tr,3_25fps,-72.1356
tr,4_25fps,-64.6561
tr,5_25fps,-53.1125
tr,6_25fps,-73.473
tr,7_25fps,-55.3531
tr,8_25fps,-52.4524
tr,9_25fps,-38.6726
tr,10_25fps,-47.7716
tr,11_25fps,-56.9119
tr,12_25fps,-63.7984
tr,13_25fps,-33.4734
tr,14_25fps,-42.5381
tr,15_25fps,-56.1328
tr,16_25fps,-65.7102
st,1_25fps,-0.0
st,2_25fps,-65.6522
st,3_25fps,-61.3221
st,4_25fps,-44.0305
st,5_25fps,-41.4157
st,6_25fps,-58.4534
st,7_25fps,-44.2762
st,8_25fps,-48.3834
st,9_25fps,-40.7745
st,10_25fps,-46.5633
st,11_25fps,-52.3269
st,12_25fps,-56.0811
st,13_25fps,-36.5136
st,14_25fps,-42.9632
st,15_25fps,-49.1987
st,16_25fps,-57.42
sf,1_25fps,-0.0
sf,2_25fps,-54.9213
sf,3_25fps,-63.2756
sf,4_25fps,-56.8614
sf,5_25fps,-49.2987
sf,6_25fps,-59.3959
sf,7_25fps,-44.8094
sf,8_25fps,-39.1088
sf,9_25fps,-32.6002
sf,10_25fps,-44.0164
sf,11_25fps,-54.9423
sf,12_25fps,-57.1497
sf,13_25fps,-40.9999
sf,14_25fps,-44.6477
sf,15_25fps,-49.2215
sf,16_25fps,-53.7003
bs,1_25fps,-0.0
bs,2_25fps,-68.9412
bs,3_25fps,-52.9363
bs,4_25fps,-51.0109
bs,5_25fps,-55.9066
bs,6_25fps,-61.7965
bs,7_25fps,-45.9273
bs,8_25fps,-40.9576
bs,9_25fps,-31.9421
bs,10_25fps,-36.6396
bs,11_25fps,-38.6448
bs,12_25fps,-52.1844
bs,13_25fps,-32.7252
bs,14_25fps,-43.9984
bs,15_25fps,-50.509
bs,16_25fps,-53.4364
sh,1_50fps,-0.0
sh,2_50fps,-81.1601
sh,3_50fps,-70.5494
sh,4_50fps,-54.9174
sh,5_50fps,-49.635
sh,6_50fps,-55.5307
sh,7_50fps,-61.2837
sh,8_50fps,-46.2254
sh,9_50fps,-36.244
sh,10_50fps,-40.8004
sh,11_50fps,-51.6153
sh,12_50fps,-66.3166
sh,13_50fps,-37.0212
sh,14_50fps,-44.0813
sh,15_50fps,-57.5757
sh,16_50fps,-62.0745
mc,1_50fps,-0.0
mc,2_50fps,-78.3431
mc,3_50fps,-69.2258
mc,4_50fps,-59.5299
mc,5_50fps,-57.8482
mc,6_50fps,-73.3075
mc,7_50fps,-58.5392
mc,8_50fps,-54.0963
mc,9_50fps,-47.3711
mc,10_50fps,-48.7705
mc,11_50fps,-57.6788
mc,12_50fps,-67.8232
mc,13_50fps,-30.9426
mc,14_50fps,-40.5326
mc,15_50fps,-52.5435
mc,16_50fps,-64.8173
pr,1_50fps,-0.0
pr,2_50fps,-61.3882
pr,3_50fps,-66.3322
pr,4_50fps,-45.4702
pr,5_50fps,-45.315
pr,6_50fps,-55.324
pr,7_50fps,-56.173
pr,8_50fps,-44.6086
pr,9_50fps,-39.8067
pr,10_50fps,-53.7598
pr,11_50fps,-59.8921
pr,12_50fps,-77.2518
pr,13_50fps,-39.7105
pr,14_50fps,-46.8271
pr,15_50fps,-54.4239
pr,16_50fps,-61.8235
