sequence,preset,score
src01,original,4.625
src01,hrc02,3.4166666666666665
src01,hrc04,4.625
src01,hrc05,1.7916666666666667
src01,hrc07,4.375
src01,hrc08,3.8333333333333335
src01,hrc09,2.375
src01,hrc10,1.5
src01,hrc12,3.5416666666666665
src01,hrc13,1.25
src01,hrc16,1.75
src01,hrc17,2.208333333333333
src01,hrc18,1.75
src01,hrc19,2.958333333333333
src01,hrc20,3.458333333333333
src01,hrc21,4.166666666666667
src02,original,4.291666666666667
src02,hrc02,4.083333333333333
src02,hrc04,4.166666666666667
src02,hrc05,1.5833333333333333
src02,hrc07,4.291666666666667
src02,hrc08,1.7916666666666667
src02,hrc09,3.8333333333333335
src02,hrc10,1.0833333333333333
src02,hrc12,3.8333333333333335
src02,hrc13,1.125
src02,hrc16,1.4583333333333333
src02,hrc17,1.5833333333333333
src02,hrc18,2.1666666666666665
src02,hrc19,2.75
src02,hrc20,3.5
src02,hrc21,3.7916666666666665
src03,original,4.208333333333333
src03,hrc02,3.75
src03,hrc04,4.166666666666667
src03,hrc05,1.625
src03,hrc07,4.208333333333333
src03,hrc08,4.416666666666667
src03,hrc09,4.166666666666667
src03,hrc10,1.0833333333333333
src03,hrc12,4.0
src03,hrc13,1.7083333333333333
src03,hrc16,1.7083333333333333
src03,hrc17,2.1666666666666665
src03,hrc18,2.5416666666666665
src03,hrc19,3.458333333333333
src03,hrc20,3.7916666666666665
src03,hrc21,4.0
src04,original,4.541666666666667
src04,hrc02,4.25
src04,hrc04,4.416666666666667
src04,hrc05,1.375
src04,hrc07,4.5
src04,hrc08,2.0416666666666665
src04,hrc09,4.166666666666667
src04,hrc10,1.125
src04,hrc12,3.9583333333333335
src04,hrc13,1.1666666666666667
src04,hrc16,2.5
src04,hrc17,2.7916666666666665
src04,hrc18,3.458333333333333
src04,hrc19,3.9166666666666665
src04,hrc20,4.0
src04,hrc21,4.25
src05,original,4.5
src05,hrc02,4.083333333333333
src05,hrc04,4.541666666666667
src05,hrc05,2.2916666666666665
src05,hrc07,4.166666666666667
src05,hrc08,3.0
src05,hrc09,3.25
src05,hrc10,2.333333333333333
src05,hrc12,4.291666666666667
src05,hrc13,1.5416666666666667
src05,hrc16,1.625
src05,hrc17,1.9166666666666667
src05,hrc18,2.5
src05,hrc19,3.333333333333333
src05,hrc20,3.9166666666666665
src05,hrc21,4.041666666666667
src06,original,4.416666666666667
src06,hrc02,2.7916666666666665
src06,hrc04,4.375
src06,hrc05,1.3333333333333333
src06,hrc07,1.2083333333333333
src06,hrc08,4.125
src06,hrc09,2.125
src06,hrc10,1.0
src06,hrc12,2.7916666666666665
src06,hrc13,1.0833333333333333
src06,hrc16,1.8333333333333333
src06,hrc17,2.125
src06,hrc18,2.0416666666666665
src06,hrc19,3.125
src06,hrc20,3.7083333333333335
src06,hrc21,4.291666666666667
src07,original,4.333333333333333
src07,hrc02,4.291666666666667
src07,hrc04,4.541666666666667
src07,hrc05,1.9583333333333333
src07,hrc07,4.166666666666667
src07,hrc08,2.375
src07,hrc09,4.5
src07,hrc10,1.0
src07,hrc12,4.0
src07,hrc13,1.2916666666666667
src07,hrc16,1.9166666666666667
src07,hrc17,2.25
src07,hrc18,2.6666666666666665
src07,hrc19,3.4166666666666665
src07,hrc20,3.75
src07,hrc21,4.0
src08,original,4.375
src08,hrc02,4.0
src08,hrc04,4.541666666666667
src08,hrc05,1.9583333333333333
src08,hrc07,4.458333333333333
src08,hrc08,3.083333333333333
src08,hrc09,4.291666666666667
src08,hrc10,1.125
src08,hrc12,3.5
src08,hrc13,1.2916666666666667
src08,hrc16,1.75
src08,hrc17,2.0
src08,hrc18,2.208333333333333
src08,hrc19,2.9166666666666665
src08,hrc20,3.375
src08,hrc21,3.6666666666666665
src09,original,3.9166666666666665
src09,hrc02,3.8333333333333335
src09,hrc04,4.0
src09,hrc05,1.25
src09,hrc07,3.8333333333333335
src09,hrc08,3.208333333333333
src09,hrc09,2.75
src09,hrc10,1.2083333333333333
src09,hrc12,3.7083333333333335
src09,hrc13,1.125
src09,hrc16,1.75
src09,hrc17,1.75
src09,hrc18,2.1666666666666665
src09,hrc19,2.833333333333333
src09,hrc20,3.2916666666666665
src09,hrc21,3.9166666666666665
csrc11,original,4.416666666666667
csrc11,chrc01,1.6666666666666667
csrc11,chrc04,2.7916666666666665
csrc11,chrc08,2.583333333333333
csrc11,chrc11,2.875
csrc11,chrc12,3.8333333333333335
csrc12,original,4.541666666666667
csrc12,chrc01,3.5
csrc12,chrc03,2.625
csrc12,chrc07,2.2916666666666665
csrc12,chrc10,1.5416666666666667
csrc12,chrc11,4.125
csrc13,original,3.9166666666666665
csrc13,chrc01,1.1666666666666667
csrc13,chrc02,4.166666666666667
csrc13,chrc05,2.5416666666666665
csrc13,chrc08,1.875
csrc13,chrc11,2.708333333333333
csrc14,original,4.416666666666667
csrc14,chrc01,1.4583333333333333
csrc14,chrc04,2.875
csrc14,chrc05,3.2916666666666665
csrc14,chrc06,1.75
csrc14,chrc09,4.083333333333333
