sequence,preset,score
S01,A_01_01,8.875
S01,A_01_02,7.625
S01,A_01_03,5.291666667
S01,A_01_04,0.333333333
S01,A_02_01,8.166666667
S01,A_02_02,7.666666667
S01,A_02_03,2.875
S01,A_02_04,0.333333333
S01,H_01_01,8.666666667
S01,H_01_02,7.291666667
S01,H_01_03,3.75
S01,H_01_04,0.5
S01,H_02_01,8.166666667
S01,H_02_02,7.416666667
S01,H_02_03,5.125
S01,H_02_04,0.75
S01,V_01_01,8.916666667
S01,V_01_02,7.541666667
S01,V_01_03,6.75
S01,V_01_04,2.0
S01,V_02_01,8.5
S01,V_02_02,8.125
S01,V_02_03,6.125
S01,V_02_04,2.5
S00,R_00_00,8.916666667
S02,A_01_01,8.583333333
S02,A_01_02,8.125
S02,A_01_03,6.916666667
S02,A_01_04,1.75
S02,A_02_01,8.666666667
S02,A_02_02,7.958333333
S02,A_02_03,6.208333333
S02,A_02_04,1.583333333
S02,H_01_01,8.25
S02,H_01_02,7.666666667
S02,H_01_03,5.041666667
S02,H_01_04,1.875
S02,H_02_01,8.625
S02,H_02_02,7.833333333
S02,H_02_03,6.041666667
S02,H_02_04,3.041666667
S02,V_01_01,8.625
S02,V_01_02,8.416666667
S02,V_01_03,7.375
S02,V_01_04,5.25
S02,V_02_01,8.875
S02,V_02_02,8.208333333
S02,V_02_03,7.875
S02,V_02_04,4.75
S02,R_00_00,9.125
S03,A_01_01,8.083333333
S03,A_01_02,7.75
S03,A_01_03,5.625
S03,A_01_04,0.458333333
S03,A_02_01,7.916666667
S03,A_02_02,7.125
S03,A_02_03,4.25
S03,A_02_04,0.541666667
S03,H_01_01,7.958333333
S03,H_01_02,7.416666667
S03,H_01_03,5.083333333
S03,H_01_04,1.666666667
S03,H_02_01,8.0
S03,H_02_02,7.375
S03,H_02_03,5.0
S03,H_02_04,1.875
S03,V_01_01,8.125
S03,V_01_02,7.666666667
S03,V_01_03,6.625
S03,V_01_04,4.041666667
S03,V_02_01,7.708333333
S03,V_02_02,7.125
S03,V_02_03,6.0
S03,V_02_04,3.875
S03,R_00_00,8.5
S04,A_01_01,8.291666667
S04,A_01_02,8.125
S04,A_01_03,5.916666667
S04,A_01_04,1.125
S04,A_02_01,8.625
S04,A_02_02,7.958333333
S04,A_02_03,2.875
S04,A_02_04,0.708333333
S04,H_01_01,8.458333333
S04,H_01_02,7.208333333
S04,H_01_03,4.5
S04,H_01_04,1.791666667
S04,H_02_01,8.5
S04,H_02_02,7.416666667
S04,H_02_03,4.833333333
S04,H_02_04,1.333333333
S04,V_01_01,8.541666667
S04,V_01_02,8.25
S04,V_01_03,7.0
S04,V_01_04,2.458333333
S04,V_02_01,8.916666667
S04,V_02_02,8.458333333
S04,V_02_03,7.333333333
S04,V_02_04,2.666666667
S04,R_00_00,8.875
S05,A_01_01,8.416666667
S05,A_01_02,7.916666667
S05,A_01_03,5.666666667
S05,A_01_04,0.5
S05,A_02_01,8.041666667
S05,A_02_02,7.208333333
S05,A_02_03,4.333333333
S05,A_02_04,0.541666667
S05,H_01_01,7.833333333
