answer,left_method,participant,right_method,test_case
12_50fps,12_50fps,bd8dd952-d2a1-4863-94e3-1150381df089,7_50fps,sh@display=sequential
12_50fps,7_50fps,7a846fef-0cf3-496d-8fcd-ab74970d4ff0,12_50fps,sh@display=sequential
7_50fps,7_50fps,03589208-7fba-40ee-9633-ac0959a61478,12_50fps,sh@display=sequential
7_50fps,12_50fps,53624b87-67ed-451a-afb8-a4313c99c9f4,7_50fps,sh@display=sequential
,12_50fps,d88df0c9-3fe9-4163-b0cd-6c612e12b41d,7_50fps,sh@display=sequential
12_50fps,7_50fps,92db3df9-a09d-42dd-8e10-9fc2a1d83a5f,12_50fps,sh@display=sequential
,7_50fps,796aa00d-9a1e-4965-86df-ecec0aba998c,12_50fps,sh@display=sequential
12_50fps,12_50fps,9709ba0a-97bb-400a-a897-21a4fde8e841,7_50fps,sh@display=sequential
,7_50fps,dac9e34d-3788-4052-a2ac-e732e48715e9,12_50fps,sh@display=sequential
12_50fps,7_50fps,1aa28aaa-bd32-46f0-aad1-8120026bde67,12_50fps,sh@display=sequential
6_25fps,6_25fps,2745a055-eca4-47c4-ac74-ecce61d8ace0,4_25fps,sf@display=sequential
4_25fps,4_25fps,04284c11-a72e-47c8-9f91-9b848e73f723,6_25fps,sf@display=sequential
4_25fps,6_25fps,9fc394ef-ae9f-4caf-bda2-a17ef1f63793,4_25fps,sf@display=sequential
,4_25fps,8752b6c5-d558-4154-a72a-58c8b0954f26,6_25fps,sf@display=sequential
4_25fps,4_25fps,7a846fef-0cf3-496d-8fcd-ab74970d4ff0,6_25fps,sf@display=sequential
4_25fps,6_25fps,d1951b7e-c0c9-4d04-8af6-f419243a8e47,4_25fps,sf@display=sequential
,6_25fps,99fb2425-7649-44f8-93b8-4da81c86a06e,4_25fps,sf@display=sequential
4_25fps,4_25fps,263ac826-05a0-44fb-b8d1-5589f0df9579,6_25fps,sf@display=sequential
4_25fps,6_25fps,ef25922b-98c8-4ce7-b71f-46c9e5ecde42,4_25fps,sf@display=sequential
4_25fps,6_25fps,195bd07d-5aaf-48e8-bfd4-2b9998e80fce,4_25fps,sf@display=sequential
7_50fps,7_50fps,26c59275-59cf-4fce-b0ff-c3af1d89e148,10_50fps,sh@display=sequential
10_50fps,7_50fps,893afb8f-7907-4c75-9d03-41963acb8288,10_50fps,sh@display=sequential
,10_50fps,b4ab04ac-755a-4606-a19b-1aed81d7a4f6,7_50fps,sh@display=sequential
10_50fps,10_50fps,25025f2f-b6f6-4484-b2b7-f8fdc0e0ccbe,7_50fps,sh@display=sequential
10_50fps,7_50fps,3546f09f-b58c-4170-9ab4-b4333e40ce47,10_50fps,sh@display=sequential
10_50fps,10_50fps,ebc1539b-4671-42de-889a-fb2b844a9e3e,7_50fps,sh@display=sequential
10_50fps,7_50fps,92db3df9-a09d-42dd-8e10-9fc2a1d83a5f,10_50fps,sh@display=sequential
10_50fps,10_50fps,9709ba0a-97bb-400a-a897-21a4fde8e841,7_50fps,sh@display=sequential
10_50fps,10_50fps,57a500d7-7794-40d5-931b-868179480f6c,7_50fps,sh@display=sequential
10_50fps,7_50fps,7b273e17-02b0-4360-b61e-fa613f74e01f,10_50fps,sh@display=sequential
16_25fps,12_25fps,c151b44e-9e65-4b02-b8b2-f024c447df0a,16_25fps,sf@display=sequential
12_25fps,12_25fps,f0d38a09-2a1f-47bb-bb14-1bee1e0ea66d,16_25fps,sf@display=sequential
16_25fps,16_25fps,264f18fe-c951-40d8-9835-2149f98e6de9,12_25fps,sf@display=sequential
16_25fps,16_25fps,228079a4-1037-4cfb-9bfb-60716c2c0433,12_25fps,sf@display=sequential
12_25fps,12_25fps,90819eca-0401-4b99-bdf3-3f77df3d3ec2,16_25fps,sf@display=sequential
16_25fps,12_25fps,be2578fc-b93f-4334-9abe-e9de77a24c29,16_25fps,sf@display=sequential
16_25fps,16_25fps,e788557c-0a4d-42fd-b352-79eb30ef8b53,12_25fps,sf@display=sequential
,16_25fps,dde0e6ac-ec3d-4053-b2b4-460b87edd071,12_25fps,sf@display=sequential
,12_25fps,abaaba37-7517-47a9-8eb5-66b20076b76c,16_25fps,sf@display=sequential
16_25fps,12_25fps,9709ba0a-97bb-400a-a897-21a4fde8e841,16_25fps,sf@display=sequential
7_25fps,7_25fps,264b796f-8492-43a5-9cef-514b079922bf,6_25fps,rb@display=sequential
7_25fps,7_25fps,97753032-7d2b-4223-9c53-27fcf750b1cb,6_25fps,rb@display=sequential
7_25fps,7_25fps,b10b4d2b-897b-4204-a14f-c1e3fe9d06ef,6_25fps,rb@display=sequential
6_25fps,6_25fps,9709ba0a-97bb-400a-a897-21a4fde8e841,7_25fps,rb@display=sequential
7_25fps,6_25fps,66dc96d1-49d5-416a-a525-fa38470205f6,7_25fps,rb@display=sequential
7_25fps,7_25fps,433766f5-5133-418c-8ba5-92586ca2f534,6_25fps,rb@display=sequential
