answer,left_method,participant,right_method,test_case
R5,R5,32e5ddc2-b4ec-454b-8df7-847cf43aeed4,R4,Runners@display=center_crop_720p
R4,R5,b9354afe-1d93-4d10-806e-3736263bab1a,R4,Runners@display=center_crop_720p
,R4,a390d9ff-d274-41c8-814e-3ceca637ca7c,R5,Runners@display=center_crop_720p
R4,R4,3462a305-fe08-47f2-90e6-8e799d7583db,R5,Runners@display=center_crop_720p
R5,R5,62351c4b-cd67-4589-a6d2-37d37396de41,R4,Runners@display=center_crop_720p
R5,R5,ef9f46e1-336c-4c62-8df7-e0fa89bdc410,R4,Runners@display=center_crop_720p
R4,R5,a9070712-cfff-4f32-9bc1-3c10112f70c1,R4,Runners@display=center_crop_720p
R4,R4,5b337f4e-718b-41ad-a679-37874c73c8f6,R5,Runners@display=center_crop_720p
,R5,615ee2e4-d007-4abd-9a64-3e040f228b0f,R4,Runners@display=center_crop_720p
,R4,80e0fc50-8f11-4b62-adcb-64dcd713b775,R5,Runners@display=center_crop_720p
R5,R2,32e5ddc2-b4ec-454b-8df7-847cf43aeed4,R5,Mobile@display=center_crop_720p
,R5,c4cf290c-d2c0-4f39-81b2-80edb4c25c62,R2,Mobile@display=center_crop_720p
R2,R2,79f79486-1f09-4631-8486-4047d8001d70,R5,Mobile@display=center_crop_720p
R5,R5,d3daf2a5-ab94-4cd5-a7c1-448b6fd390ed,R2,Mobile@display=center_crop_720p
R5,R5,d3daf2a5-ab94-4cd5-a7c1-448b6fd390ed,R2,Mobile@display=center_crop_720p
R5,R2,d3daf2a5-ab94-4cd5-a7c1-448b6fd390ed,R5,Mobile@display=center_crop_720p
R5,R5,a9070712-cfff-4f32-9bc1-3c10112f70c1,R2,Mobile@display=center_crop_720p
R5,R5,d79246d4-d3a7-4f32-b8a9-436aa619b05f,R2,Mobile@display=center_crop_720p
R5,R5,30351fe7-3579-44d0-82df-3222af2d2ffe,R2,Mobile@display=center_crop_720p
R5,R2,30351fe7-3579-44d0-82df-3222af2d2ffe,R5,Mobile@display=center_crop_720p
R4,R4,32e5ddc2-b4ec-454b-8df7-847cf43aeed4,R6,Mobile@display=center_crop_720p
R6,R4,b9354afe-1d93-4d10-806e-3736263bab1a,R6,Mobile@display=center_crop_720p
,R4,10159462-7821-4138-b4b7-3cd4a948ccde,R6,Mobile@display=center_crop_720p
R6,R6,3462a305-fe08-47f2-90e6-8e799d7583db,R4,Mobile@display=center_crop_720p
R6,R6,6cbaef1d-83ce-41ae-855e-80e2f010e6de,R4,Mobile@display=center_crop_720p
R6,R6,3c65c584-fd86-48b8-af53-ceca86507f35,R4,Mobile@display=center_crop_720p
R6,R6,3c65c584-fd86-48b8-af53-ceca86507f35,R4,Mobile@display=center_crop_720p
R6,R4,42f113c6-055f-47f9-9e74-8fbc75ae055a,R6,Mobile@display=center_crop_720p
R6,R4,30351fe7-3579-44d0-82df-3222af2d2ffe,R6,Mobile@display=center_crop_720p
R6,R4,30351fe7-3579-44d0-82df-3222af2d2ffe,R6,Mobile@display=center_crop_720p
R3,R2,32e5ddc2-b4ec-454b-8df7-847cf43aeed4,R3,Fountains@display=center_crop_720p
,R2,841a58dd-6263-43b6-b571-3bee27e36ff3,R3,Fountains@display=center_crop_720p
R3,R3,d6cac3e2-b85d-4bf0-893f-3c0012d022bc,R2,Fountains@display=center_crop_720p
R3,R3,7785a659-29af-41ae-a454-a46c8b311b40,R2,Fountains@display=center_crop_720p
R3,R3,7785a659-29af-41ae-a454-a46c8b311b40,R2,Fountains@display=center_crop_720p
,R3,6cbaef1d-83ce-41ae-855e-80e2f010e6de,R2,Fountains@display=center_crop_720p
R2,R3,256fccd5-a85e-4ae8-a8e6-9f6b1addc288,R2,Fountains@display=center_crop_720p
R3,R3,5b337f4e-718b-41ad-a679-37874c73c8f6,R2,Fountains@display=center_crop_720p
R3,R3,3a9b42c4-1756-4d1e-af71-2b896ac1c1bf,R2,Fountains@display=center_crop_720p
R3,R2,3793a48b-360d-46ef-88e8-201d71c8078a,R3,Fountains@display=center_crop_720p
R5,R5,32e5ddc2-b4ec-454b-8df7-847cf43aeed4,R1,Runners@display=center_crop_720p
R5,R1,b9354afe-1d93-4d10-806e-3736263bab1a,R5,Runners@display=center_crop_720p
R5,R5,3c6fc31b-45d1-4a7a-83a9-8eea2433714b,R1,Runners@display=center_crop_720p
R5,R1,3c6fc31b-45d1-4a7a-83a9-8eea2433714b,R5,Runners@display=center_crop_720p
R5,R5,18921392-d6be-466c-8d77-4e5538b37466,R1,Runners@display=center_crop_720p
R5,R1,18921392-d6be-466c-8d77-4e5538b37466,R5,Runners@display=center_crop_720p
R5,R1,4aee92a0-9114-4c23-945c-f4b4ddc2f3ff,R5,Runners@display=center_crop_720p
R5,R5,4aee92a0-9114-4c23-945c-f4b4ddc2f3ff,R1,Runners@display=center_crop_720p
R5,R1,4aee92a0-9114-4c23-945c-f4b4ddc2f3ff,R5,Runners@display=center_crop_720p
R5,R1,236f0572-ddbd-4a80-afdb-c4b04b246b50,R5,Runners@display=center_crop_720p
R5,R5,b4994991-44f3-4ee0-96f9-1485655ec745,R3,Runners@display=center_crop_720p
R5,R5,6e9e13e6-d1b2-4c9c-aef8-84d1cf2b4418,R3,Runners@display=center_crop_720p
,R3,7dd07c60-d923-475c-87c9-287801e40e8e,R5,Runners@display=center_crop_720p
,R3,cfe3d801-24be-4761-8a26-83a65ca3e3d7,R5,Runners@display=center_crop_720p
R5,R5,3462a305-fe08-47f2-90e6-8e799d7583db,R3,Runners@display=center_crop_720p
,R5,bbca0847-faeb-4987-b151-ba784980921e,R3,Runners@display=center_crop_720p
R3,R5,32e5ddc2-b4ec-454b-8df7-847cf43aeed4,R3,Runners@display=center_crop_720p
,R5,6e9e13e6-d1b2-4c9c-aef8-84d1cf2b4418,R3,Runners@display=center_crop_720p
R3,R3,d6cac3e2-b85d-4bf0-893f-3c0012d022bc,R5,Runners@display=center_crop_720p
,R3,6e9e13e6-d1b2-4c9c-aef8-84d1cf2b4418,R5,Runners@display=center_crop_720p
R6,R2,32e5ddc2-b4ec-454b-8df7-847cf43aeed4,R6,Marathon@display=center_crop_720p
R6,R2,d3daf2a5-ab94-4cd5-a7c1-448b6fd390ed,R6,Marathon@display=center_crop_720p
