method,test_case,participant,fluency,exposure,contrast,color,sharpness,noise,compression_artifacts,aesthetic
v2328,Maxwell,ef7c9718-3a41-48f4-88d9-147c66b94096,1,0,-1,-1,0,0,-1,0
v3292,Maxwell,ef7c9718-3a41-48f4-88d9-147c66b94096,0,-1,0,0,-1,-1,-1,0
v0529,Maxwell,ef7c9718-3a41-48f4-88d9-147c66b94096,-1,0,0,0,-1,-1,-1,0
v0162,Maxwell,ef7c9718-3a41-48f4-88d9-147c66b94096,0,-1,0,0,-1,-1,0,0
v0314,Maxwell,ef7c9718-3a41-48f4-88d9-147c66b94096,-1,-1,-1,-1,-1,-1,-1,-1
v1190,Maxwell,ef7c9718-3a41-48f4-88d9-147c66b94096,1,0,0,-1,0,0,0,0
v1984,Maxwell,ef7c9718-3a41-48f4-88d9-147c66b94096,0,0,-1,-1,-1,-1,-1,0
v4125,Maxwell,ef7c9718-3a41-48f4-88d9-147c66b94096,1,1,1,0,1,0,-1,0
v2328,Maxwell,ef7c9718-3a41-48f4-88d9-147c66b94096,1,0,0,0,0,0,0,0
v3740,Maxwell,ef7c9718-3a41-48f4-88d9-147c66b94096,1,0,0,0,0,1,0,0
v4125,Maxwell,ef7c9718-3a41-48f4-88d9-147c66b94096,1,1,1,1,0,0,-1,0
v1859,Maxwell,ef7c9718-3a41-48f4-88d9-147c66b94096,-1,0,0,0,0,0,0,0
v4034,Maxwell,ef7c9718-3a41-48f4-88d9-147c66b94096,1,0,0,0,0,0,0,1
v4125,Maxwell,ef7c9718-3a41-48f4-88d9-147c66b94096,1,1,1,1,1,0,0,1
v1025,Maxwell,ef7c9718-3a41-48f4-88d9-147c66b94096,0,0,0,0,0,0,0,0
v0162,Maxwell,ef7c9718-3a41-48f4-88d9-147c66b94096,0,-1,-1,0,-1,-1,0,0
v0094,Maxwell,ef7c9718-3a41-48f4-88d9-147c66b94096,0,-1,-1,-1,-1,-1,-1,-1
v1703,Maxwell,ef7c9718-3a41-48f4-88d9-147c66b94096,-1,0,1,1,1,1,1,0
v4166,Maxwell,ef7c9718-3a41-48f4-88d9-147c66b94096,1,1,1,0,0,0,0,0
v1447,Maxwell,ef7c9718-3a41-48f4-88d9-147c66b94096,0,0,0,0,-1,-1,-1,0
v0314,Maxwell,ef7c9718-3a41-48f4-88d9-147c66b94096,-1,-1,-1,-1,-1,-1,-1,-1
v3355,Maxwell,ef7c9718-3a41-48f4-88d9-147c66b94096,1,1,0,0,0,1,1,1
v1373,Maxwell,ef7c9718-3a41-48f4-88d9-147c66b94096,1,0,0,0,-1,0,-1,0
v2828,Maxwell,ef7c9718-3a41-48f4-88d9-147c66b94096,0,-1,1,1,1,-1,-1,0
v1373,Maxwell,ef7c9718-3a41-48f4-88d9-147c66b94096,1,0,0,0,-1,0,-1,0
v1190,Maxwell,ef7c9718-3a41-48f4-88d9-147c66b94096,1,1,1,0,0,0,0,1
v0328,Maxwell,ef7c9718-3a41-48f4-88d9-147c66b94096,-1,0,-1,-1,-1,-1,-1,-1
v0265,Maxwell,ef7c9718-3a41-48f4-88d9-147c66b94096,1,0,0,1,0,0,0,1
v1190,Maxwell,ef7c9718-3a41-48f4-88d9-147c66b94096,1,0,0,-1,-1,0,0,0
v4166,Maxwell,ef7c9718-3a41-48f4-88d9-147c66b94096,1,0,1,-1,0,0,0,0
v2801,Maxwell,76235253-aa1e-4c51-96c0-fffb3168626a,1,0,0,0,0,-1,0,0
v0314,Maxwell,76235253-aa1e-4c51-96c0-fffb3168626a,-1,0,0,0,0,-1,-1,-1
v3740,Maxwell,76235253-aa1e-4c51-96c0-fffb3168626a,1,1,1,1,0,1,1,1
v3292,Maxwell,76235253-aa1e-4c51-96c0-fffb3168626a,0,0,0,0,0,-1,0,0
v4034,Maxwell,76235253-aa1e-4c51-96c0-fffb3168626a,1,1,1,1,1,1,1,1
v0530,Maxwell,76235253-aa1e-4c51-96c0-fffb3168626a,-1,-1,-1,-1,-1,-1,-1,-1
v1373,Maxwell,76235253-aa1e-4c51-96c0-fffb3168626a,1,1,1,0,0,0,1,0
v0009,Maxwell,76235253-aa1e-4c51-96c0-fffb3168626a,0,-1,-1,-1,-1,-1,0,-1
